portname;prttype;prtsize;latitude;longitude;iso3_op;top_left_lat;top_left_long;top_right_lat;top_right_long;bot_right_lat;bot_right_long;bot_left_lat;bot_left_long
Bontang;Sea;Small;0,08553;117,48763;IDN;0,58553;117,98763;-0,41447;117,98763;0,58553;116,98763;-0,41447;116,98763
Tubod;Sea;Small;8,05564;123,78983;PHL;8,55564;124,28983;7,55564;124,28983;8,55564;123,28983;7,55564;123,28983
San Antonio;Sea;Very Small;12,41214;124,27944;PHL;12,91214;124,77944;11,91214;124,77944;12,91214;123,77944;11,91214;123,77944
Cam Ranh;Sea;Small;11,90338;109,14451;VNM;12,40338;109,64451;11,40338;109,64451;12,40338;108,64451;11,40338;108,64451
Danao;Sea;Very Small;10,52123;124,02944;PHL;11,02123;124,52944;10,02123;124,52944;11,02123;123,52944;10,02123;123,52944
San Fernando;Sea;Small;16,60876;120,30097;PHL;17,10876;120,80097;16,10876;120,80097;17,10876;119,80097;16,10876;119,80097
Bacon;Sea;Very Small;13,04099;124,04541;PHL;13,54099;124,54541;12,54099;124,54541;13,54099;123,54541;12,54099;123,54541
Roxas;Sea;Small;12,5936;121,52968;PHL;13,0936;122,02968;12,0936;122,02968;13,0936;121,02968;12,0936;121,02968
Can Tho;River;Unknown;9,98373;105,83577;VNM;10,48373;106,33577;9,48373;106,33577;10,48373;105,33577;9,48373;105,33577
Pulupandan;Sea;Small;10,51976;122,79597;PHL;11,01976;123,29597;10,01976;123,29597;11,01976;122,29597;10,01976;122,29597
Bakapit;Sea;Unknown;4,95262;118,58633;MYS;5,45262;119,08633;4,45262;119,08633;5,45262;118,08633;4,45262;118,08633
Catbalogan;Sea;Small;11,77391;124,88078;PHL;12,27391;125,38078;11,27391;125,38078;12,27391;124,38078;11,27391;124,38078
Tagbilaran;Sea;Small;9,64892;123,85055;PHL;10,14892;124,35055;9,14892;124,35055;10,14892;123,35055;9,14892;123,35055
Lundu;Sea;Unknown;1,67051;109,85378;MYS;2,17051;110,35378;1,17051;110,35378;2,17051;109,35378;1,17051;109,35378
Pasir Gudang;Sea;Unknown;1,43695;103,90183;MYS;1,93695;104,40183;0,93695;104,40183;1,93695;103,40183;0,93695;103,40183
Toledo;Sea;Small;10,37588;123,63519;PHL;10,87588;124,13519;9,87588;124,13519;10,87588;123,13519;9,87588;123,13519
Laoag;Sea;Unknown;18,19264;120,59262;PHL;18,69264;121,09262;17,69264;121,09262;18,69264;120,09262;17,69264;120,09262
Banggai;Sea;Small;-1,5901;123,49918;IDN;-1,0901;123,99918;-2,0901;123,99918;-1,0901;122,99918;-2,0901;122,99918
Probolinggo;Sea;Small;-7,72999;113,2179;IDN;-7,22999;113,7179;-8,22999;113,7179;-7,22999;112,7179;-8,22999;112,7179
Lembar;Sea;Small;-8,73027;116,07257;IDN;-8,23027;116,57257;-9,23027;116,57257;-8,23027;115,57257;-9,23027;115,57257
Bima;Sea;Small;-8,44936;118,71664;IDN;-7,94936;119,21664;-8,94936;119,21664;-7,94936;118,21664;-8,94936;118,21664
Palompon;Sea;Very Small;11,05199;124,38315;PHL;11,55199;124,88315;10,55199;124,88315;11,55199;123,88315;10,55199;123,88315
Maripipi;Sea;Very Small;11,7778;124,34924;PHL;12,2778;124,84924;11,2778;124,84924;12,2778;123,84924;11,2778;123,84924
Cataingan;Sea;Very Small;12,00356;124,00048;PHL;12,50356;124,50048;11,50356;124,50048;12,50356;123,50048;11,50356;123,50048
Manila;Sea;Large;14,59804;120,96049;PHL;15,09804;121,46049;14,09804;121,46049;15,09804;120,46049;14,09804;120,46049
Pilar;Sea;Very Small;12,92281;123,67587;PHL;13,42281;124,17587;12,42281;124,17587;13,42281;123,17587;12,42281;123,17587
Penuba;Unknown;Small;-0,31587;104,46529;IDN;0,18413;104,96529;-0,81587;104,96529;0,18413;103,96529;-0,81587;103,96529
Phuket;Sea;Unknown;7,87304;98,41471;THA;8,37304;98,91471;7,37304;98,91471;8,37304;97,91471;7,37304;97,91471
Phangnga;River;Unknown;8,39961;98,51346;THA;8,89961;99,01346;7,89961;99,01346;8,89961;98,01346;7,89961;98,01346
Chanthaburi;River;Unknown;12,60208;102,11342;THA;13,10208;102,61342;12,10208;102,61342;13,10208;101,61342;12,10208;101,61342
Wallace Bay;Sea;Unknown;4,24747;117,66116;MYS;4,74747;118,16116;3,74747;118,16116;4,74747;117,16116;3,74747;117,16116
Sibu;Sea;Unknown;2,2882;111,82375;MYS;2,7882;112,32375;1,7882;112,32375;2,7882;111,32375;1,7882;111,32375
Jolo;Sea;Unknown;6,05276;120,99972;PHL;6,55276;121,49972;5,55276;121,49972;6,55276;120,49972;5,55276;120,49972
Tumpat;Sea;Unknown;6,2007;102,16879;MYS;6,7007;102,66879;5,7007;102,66879;6,7007;101,66879;5,7007;101,66879
Seletar;Sea;Unknown;1,42132;103,89181;SGP;1,92132;104,39181;0,92132;104,39181;1,92132;103,39181;0,92132;103,39181
Jose Panganiban;Sea;Unknown;14,28499;122,69469;PHL;14,78499;123,19469;13,78499;123,19469;14,78499;122,19469;13,78499;122,19469
Lingayen;Sea;Unknown;16,01746;120,22847;PHL;16,51746;120,72847;15,51746;120,72847;16,51746;119,72847;15,51746;119,72847
Dumai;Sea;Medium;1,6861;101,44849;IDN;2,1861;101,94849;1,1861;101,94849;2,1861;100,94849;1,1861;100,94849
Waingapu;Sea;Small;-9,64121;120,24987;IDN;-9,14121;120,74987;-10,14121;120,74987;-9,14121;119,74987;-10,14121;119,74987
Jakarta;Sea;Large;-6,10434;106,80256;IDN;-5,60434;107,30256;-6,60434;107,30256;-5,60434;106,30256;-6,60434;106,30256
Tanjung Priok;Sea;Large;-6,10492;106,87615;IDN;-5,60492;107,37615;-6,60492;107,37615;-5,60492;106,37615;-6,60492;106,37615
Kupang;Sea;Small;-10,15375;123,59051;IDN;-9,65375;124,09051;-10,65375;124,09051;-9,65375;123,09051;-10,65375;123,09051
Bitung;Sea;Small;1,4389;125,19403;IDN;1,9389;125,69403;0,9389;125,69403;1,9389;124,69403;0,9389;124,69403
Coron;Sea;Small;11,99246;120,21227;PHL;12,49246;120,71227;11,49246;120,71227;12,49246;119,71227;11,49246;119,71227
Maasin;Sea;Very Small;10,1321;124,84119;PHL;10,6321;125,34119;9,6321;125,34119;10,6321;124,34119;9,6321;124,34119
Ubay;Sea;Unknown;10,0592;124,47209;PHL;10,5592;124,97209;9,5592;124,97209;10,5592;123,97209;9,5592;123,97209
San Carlos;Sea;Small;10,47904;123,42024;PHL;10,97904;123,92024;9,97904;123,92024;10,97904;122,92024;9,97904;122,92024
Ende;Sea;Small;-8,84538;121,64313;IDN;-8,34538;122,14313;-9,34538;122,14313;-8,34538;121,14313;-9,34538;121,14313
Thilawa;River;Small;16,66539;96,24981;MMR;17,16539;96,74981;16,16539;96,74981;17,16539;95,74981;16,16539;95,74981
Davao;Sea;Medium;7,09777;125,64773;PHL;7,59777;126,14773;6,59777;126,14773;7,59777;125,14773;6,59777;125,14773
Larena;Sea;Very Small;9,24938;123,5926;PHL;9,74938;124,0926;8,74938;124,0926;9,74938;123,0926;8,74938;123,0926
Amamapare;Unknown;Very Small;-4,828;136,83729;IDN;-4,328;137,33729;-5,328;137,33729;-4,328;136,33729;-5,328;136,33729
Villanueva;Sea;Unknown;8,57646;124,76158;PHL;9,07646;125,26158;8,07646;125,26158;9,07646;124,26158;8,07646;124,26158
Masinloc;Sea;Very Small;15,53811;119,94751;PHL;16,03811;120,44751;15,03811;120,44751;16,03811;119,44751;15,03811;119,44751
Nasipit;Sea;Small;8,97919;125,33638;PHL;9,47919;125,83638;8,47919;125,83638;9,47919;124,83638;8,47919;124,83638
San Jose;Sea;Small;10,73833;121,93806;PHL;11,23833;122,43806;10,23833;122,43806;11,23833;121,43806;10,23833;121,43806
